nome,uf,latitude,longitude
Fortaleza,CE,-3.717200,-38.543400
Salvador,BA,-12.971400,-38.510800
São Paulo,SP,-23.550520,-46.633308
Rio de Janeiro,RJ,-22.906800,-43.172900
Belo Horizonte,MG,-19.916700,-43.937800
Curitiba,PR,-25.428400,-49.273200
Porto Alegre,RS,-30.033100,-51.230000
Florianópolis,SC,-27.594900,-48.548200
Brasília,DF,-15.826700,-47.921700
Manaus,AM,-3.119000,-60.021800
Belém,PA,-1.455800,-48.504100
Recife,PE,-8.047600,-34.876900
Goiânia,GO,-16.686800,-49.264800
Aracaju,SE,-10.909100,-37.071600
Maceió,AL,-9.666500,-35.735100
João Pessoa,PB,-7.119500,-34.845000
Natal,RN,-5.795000,-35.210900
Teresina,PI,-5.089200,-42.803400
São Luís,MA,-2.539900,-44.283000
Campo Grande,MS,-20.469100,-54.620400
Cuiabá,MT,-15.601000,-56.096900
Boa Vista,RR,2.820800,-60.673500
Porto Velho,RO,-8.761900,-63.902200
Rio Branco,AC,-9.975000,-67.810000
Palmas,TO,-10.249100,-48.324900
Macapá,AP,0.034900,-51.066600
Vitória,ES,-20.319400,-40.338100
Maracanaú,CE,-3.876700,-38.625800
Sobral,CE,-3.686100,-40.350000
Itapipoca,CE,-3.494200,-39.578600
Maranguape,CE,-3.891400,-38.685600
Caucaia,CE,-3.736100,-38.653300
Juazeiro do Norte,CE,-7.213300,-39.315300
Crato,CE,-7.234200,-39.409700
Russas,CE,-4.940800,-37.976700
Quixadá,CE,-4.971400,-39.015600
Canindé,CE,-4.358600,-39.311900
Aracati,CE,-4.561100,-37.769400
Crateús,CE,-5.178100,-40.675800
Iguatu,CE,-6.359700,-39.298600
Petrolina,PE,-9.388900,-40.500800
Feira de Santana,BA,-12.266700,-38.966700
Vitória da Conquista,BA,-14.866100,-40.839400
Camaçari,BA,-12.697500,-38.324400
Itabuna,BA,-14.785600,-39.280300
Juazeiro,BA,-9.411900,-40.498900
Lauro de Freitas,BA,-12.894400,-38.322500
Ilhéus,BA,-14.789200,-39.049700
Jequié,BA,-13.858300,-40.083900
Teixeira de Freitas,BA,-17.539400,-39.742800
Alagoinhas,BA,-12.135800,-38.419700
Barreiras,BA,-12.152200,-44.990000
